partner_deal_id,partner_name,partner_id,account_name,deal_amount_gross,partner_margin_pct,net_revenue,start_date,end_date,status,crm_opportunity_id
DEAL-0001,TechForward Partners,PTR-001,"Brightfield Corporation",28800,20,23040,2023-11-01,2024-10-31,active,OPP-78558
DEAL-0002,Nexus Channel Group,PTR-003,"Cascadia Net",21600,25,16200,2024-01-01,2024-12-31,active,OPP-22328
DEAL-0003,GlobalConnect,PTR-005,"POLARSTAR TECH",38400,30,26880,2023-12-01,2024-11-30,active,OPP-12754
DEAL-0004,TechForward Partners,PTR-001,"PACIFIC WEALTH",26728,16,22451.52,2024-05-01,2025-05-01,pending,
DEAL-0005,TechForward Partners,PTR-001,"CoreStack",6091,27,4446.43,2023-05-01,2024-05-01,active,OPP-55652
DEAL-0006,GlobalConnect,PTR-005,"URBANMART",17717,27,12886,2024-10-01,2025-10-01,expired,OPP-55230
DEAL-0007,CloudBridge Consulting,PTR-002,"DEEPFIELD AI",37589,31,25936.41,2023-10-01,2024-10-01,active,OPP-81795
DEAL-0008,Apex Resellers,PTR-004,"TITAN MANUFACTURING",20700,24,15732,2023-10-01,2024-10-01,active,OPP-65295
DEAL-0009,Nexus Channel Group,PTR-003,"Wavelength",18299,30,12809.3,2023-05-01,2024-05-01,active,
DEAL-0010,Nexus Channel Group,PTR-003,"DigitalBridge",9095,17,7548.85,2024-07-01,2025-07-01,expired,OPP-10434
DEAL-0011,Apex Resellers,PTR-004,"ORBIS TECH",42888,22,33452.64,2024-12-01,2025-12-01,pending,OPP-69758
DEAL-0012,CloudBridge Consulting,PTR-002,"TrueHealth",17258,27,12598.34,2023-06-01,2024-06-01,pending,OPP-95708
DEAL-0013,TechForward Partners,PTR-001,"STRATOS CLOUD",20672,21,16371.89,2024-07-01,2025-07-01,active,OPP-92183
DEAL-0014,CloudBridge Consulting,PTR-002,"Datastream",10545,35,6854.25,2024-06-01,2025-06-01,active,OPP-54427
DEAL-0015,CloudBridge Consulting,PTR-002,"Sapient",11127,31,7677.63,2023-10-01,2024-10-01,active,
DEAL-0016,Apex Resellers,PTR-004,"Vanta",24363,19,19734.03,2023-03-01,2024-03-01,active,OPP-76343
DEAL-0017,Apex Resellers,PTR-004,"DRAGON CLOUD",8963,35,5825.95,2024-11-01,2025-11-01,active,OPP-57149
DEAL-0018,GlobalConnect,PTR-005,"Beacon Retail Group",42010,32,28566.8,2023-11-01,2024-11-01,active,OPP-96944
DEAL-0019,CloudBridge Consulting,PTR-002,"PRISM SOFTWARE",35685,35,23195.25,2023-04-01,2024-04-01,pending,OPP-86555
DEAL-0020,TechForward Partners,PTR-001,"NOVATECH GMBH",46409,24,35270.84,2023-09-01,2024-09-01,active,
DEAL-0021,TechForward Partners,PTR-001,"SUMMIT FINANCIAL SERVICES",15206,31,10492.14,2024-12-01,2025-12-01,active,OPP-45441
DEAL-0022,CloudBridge Consulting,PTR-002,"Renewable Dyn.",31412,17,26071.96,2024-08-01,2025-08-01,active,OPP-29501
DEAL-0023,Apex Resellers,PTR-004,"PACIFICA INDUSTRIAL",47089,26,34845.86,2023-04-01,2024-04-01,pending,OPP-22077
DEAL-0024,CloudBridge Consulting,PTR-002,"Silverline Technology",39618,24,30081.52,2023-05-01,2024-05-01,expired,OPP-95701
DEAL-0025,TechForward Partners,PTR-001,"CENTRIC HEALTH",25494,31,17590.86,2024-08-01,2025-08-01,active,OPP-34278
DEAL-0026,GlobalConnect,PTR-005,"Forge Ind.",46393,27,33866.89,2024-06-01,2025-06-01,expired,
DEAL-0027,GlobalConnect,PTR-005,"Kinetic Sys",21946,28,15801.12,2023-05-01,2024-05-01,active,OPP-60441
DEAL-0028,CloudBridge Consulting,PTR-002,"Zenith AI Corp",15731,23,12112.87,2024-02-01,2025-02-01,active,OPP-28899
DEAL-0029,TechForward Partners,PTR-001,"STRATTON CONSULTING",13817,33,9257.39,2024-12-01,2025-12-01,active,OPP-95350
DEAL-0030,CloudBridge Consulting,PTR-002,"Genome",21243,21,16781.97,2023-10-01,2024-10-01,pending,OPP-13657
DEAL-0031,TechForward Partners,PTR-001,"CIRRUS LOGIC SYSTEMS",17055,25,12791.25,2024-12-01,2025-12-01,active,OPP-66903
DEAL-0032,CloudBridge Consulting,PTR-002,"SilkRoute",10070,34,6646.2,2023-01-01,2024-01-01,pending,
DEAL-0033,GlobalConnect,PTR-005,"BYTEFORGE",48558,24,36904.08,2023-10-01,2024-10-01,active,OPP-68532
DEAL-0034,GlobalConnect,PTR-005,"CATALYST INNOVATIONS",33446,16,28094.64,2024-07-01,2025-07-01,active,OPP-43627
DEAL-0035,Nexus Channel Group,PTR-003,"Horizon Media Partners",14713,28,10595.82,2023-05-01,2024-05-01,expired,OPP-37044
DEAL-0036,Apex Resellers,PTR-004,"Clearview Analytics Inc.",22104,20,17683.2,2023-07-01,2024-07-01,active,OPP-23063
DEAL-0037,TechForward Partners,PTR-001,"LEARNSPHERE",6953,17,5770.99,2023-09-01,2024-09-01,expired,OPP-47338
DEAL-0038,GlobalConnect,PTR-005,"Europa Retail",10143,30,7100.1,2024-04-01,2025-04-01,active,OPP-65346
DEAL-0039,Nexus Channel Group,PTR-003,"Redwood Mfg Corp",5949,29,4223.79,2024-03-01,2025-03-01,pending,
DEAL-0040,GlobalConnect,PTR-005,"AMPLIFY MEDIA",40289,19,32634.09,2023-01-01,2024-01-01,active,OPP-47543
DEAL-0041,Apex Resellers,PTR-004,"Andean Mfg",18932,31,13063.08,2024-10-01,2025-10-01,active,OPP-65507
DEAL-0042,Apex Resellers,PTR-004,"Codex",19936,27,14553.28,2024-08-01,2025-08-01,active,OPP-49703
DEAL-0043,GlobalConnect,PTR-005,"Bazaar Tech",25084,25,18813,2023-09-01,2024-09-01,active,OPP-12283
DEAL-0044,Apex Resellers,PTR-004,"BankTech",12109,32,8234.12,2023-09-01,2024-09-01,active,OPP-93943
DEAL-0045,GlobalConnect,PTR-005,"Mercado",45836,24,34835.36,2023-01-01,2024-01-01,active,
DEAL-0046,CloudBridge Consulting,PTR-002,"AcademiQ Solutions",43778,26,32412.75,2024-06-01,2025-06-01,pending,OPP-36521
DEAL-0047,TechForward Partners,PTR-001,"EDGEPOINT SYSTEMS",42626,29,30264.46,2024-12-01,2025-12-01,expired,OPP-66945
DEAL-0048,CloudBridge Consulting,PTR-002,"Nordic Shops AB",42777,15,36360.45,2023-09-01,2024-09-01,expired,OPP-33496
DEAL-0049,TechForward Partners,PTR-001,"Steelbridge",12683,27,9258.59,2024-10-01,2025-10-01,active,OPP-99133
DEAL-0050,Apex Resellers,PTR-004,"PRECISION DYNAMICS",33886,30,23720.2,2023-02-01,2024-02-01,expired,OPP-89650
DEAL-0051,TechForward Partners,PTR-001,"ARCUS TECHNOLOGIES",41489,25,31116.75,2024-11-01,2025-11-01,pending,
DEAL-0052,Apex Resellers,PTR-004,"PACIFICMART",23885,16,20063.4,2023-03-01,2024-03-01,active,OPP-56276
DEAL-0053,GlobalConnect,PTR-005,"Cortex Auto",30228,21,23880.12,2024-09-01,2025-09-01,active,OPP-96870
DEAL-0054,Nexus Channel Group,PTR-003,"NOVACARE DIAGNOSTICS",24834,17,20612.22,2023-02-01,2024-02-01,active,OPP-67952
DEAL-0055,Apex Resellers,PTR-004,"BRIGHT MINDS ACADEMY",19223,20,15378.4,2024-02-01,2025-02-01,active,OPP-50210
DEAL-0056,CloudBridge Consulting,PTR-002,"NEXTERA DIGITAL",8270,21,6533.3,2024-07-01,2025-07-01,active,
DEAL-0057,Nexus Channel Group,PTR-003,"WellCore",48247,18,39562.54,2023-03-01,2024-03-01,pending,OPP-95481
DEAL-0058,Nexus Channel Group,PTR-003,"Salud",15479,25,11609.25,2024-05-01,2025-05-01,expired,OPP-41166
DEAL-0059,CloudBridge Consulting,PTR-002,"NEBULA SYSTEMS",31189,18,25574.98,2024-06-01,2025-06-01,active,OPP-55183
DEAL-0060,TechForward Partners,PTR-001,"CarePath",30035,25,22526.25,2023-04-01,2024-04-01,active,OPP-15068
