account_id,account_name,parent_account_id,industry,employee_count,region,website,created_date,account_owner,account_status,subscription_type,annual_contract_value
ACC-00001,Quantum Dynamics Inc.,,Technology,450,North America,quantumdynamics.com,2022-11-10,Sarah Chen,Active,hybrid,7188
ACC-00002,Meridian Health,,Healthcare,1200,North America,meridianhealthsystems.com,2022-08-03,James Park,Active,flat-rate,1020000
ACC-00003,Atlas Logistics,,Logistics,340,Europe,atlaslogisticsgroup.com,2023-01-20,Sarah Chen,Active,seat-based,2148
ACC-00004,Novatech,,Technology,280,Europe,novatechgmbh.com,2023-05-09,Mike Rodriguez,Active,flat-rate,8388
ACC-00005,Lumin Digital,,Technology,190,Europe,lumindigitalag.com,2023-06-05,James Park,Active,seat-based,9937
ACC-00006,Clearview Analytics Inc.,,Technology,520,North America,clearviewanalytics.com,2022-09-08,David Kim,Active,seat-based,62400
ACC-00007,Prism Software Solutions,,Technology,85,North America,prismsoftware.com,2023-05-03,Emma Thompson,Active,flat-rate,1788
ACC-00008,Summit Financial Group,,Financial Services,890,North America,summitfinancial.com,2022-10-16,Sarah Chen,Active,usage-based,144000
ACC-00009,Horizon Media Partners,,Media,310,North America,horizonmedia.com,2023-01-28,Lisa Wang,Active,flat-rate,5988
ACC-00010,Vertex Engineering Ltd.,,Manufacturing,670,Europe,vertexengineering.com,2022-08-14,Mike Rodriguez,Active,hybrid,90000
ACC-00011,Stratos Cloud Services,,Technology,150,North America,stratoscloud.com,2023-02-28,Mike Rodriguez,Active,flat-rate,2148
ACC-00012,Pinnacle Retail Group,,Retail,420,North America,pinnacleretail.com,2022-12-29,Lisa Wang,Active,seat-based,7188
ACC-00013,Catalyst Innovation Labs,,Technology,95,APAC,catalystinnovation.com,2023-06-19,James Park,Active,flat-rate,2227
ACC-00014,Redwood Mfg Corp,,Manufacturing,780,North America,redwoodmanufacturing.com,2022-06-02,Sarah Chen,Active,flat-rate,1104000
ACC-00023,Nebula Systems Inc.,,Technology,324,North America,nebulasystems.com,2024-07-15,David Kim,Active,flat-rate,7596
ACC-00024,Ironclad Sec,,Technology,29,North America,ironcladsecurity.com,2023-01-24,James Park,Active,flat-rate,744
ACC-00025,ByteForge Inc.,,Technology,2573,North America,byteforge.com,2023-02-19,Emma Thompson,Churned,flat-rate,160896
ACC-00026,Datastream,,Technology,253,North America,datastreamai.com,2022-12-16,David Kim,Active,seat-based,7188
ACC-00027,CloudPeak,,Technology,405,North America,cloudpeaksoftware.com,2022-05-27,James Park,Active,flat-rate,71160
ACC-00028,Silverline Technology,,Technology,125,North America,silverlinetech.com,2023-11-05,Emma Thompson,Active,flat-rate,6060
ACC-00029,Nextera,,Technology,7,North America,nexteradigital.com,2022-12-11,Lisa Wang,Active,hybrid,780
ACC-00030,CoreStack,,Technology,34,North America,corestacksolutions.com,2022-12-04,Mike Rodriguez,Churned,usage-based,2292
ACC-00031,Pulse Analytics Inc.,,Technology,168,North America,pulseanalytics.com,2023-03-31,Emma Thompson,Active,flat-rate,1511
ACC-00032,Arcus Tech,,Technology,7,North America,arcustechnologies.com,2023-12-01,Sarah Chen,Active,seat-based,73
ACC-00033,TerraForm,,Technology,34,North America,terraformlabs.com,2022-11-27,Emma Thompson,Active,usage-based,6600
ACC-00034,Vanta,,Technology,530,North America,vantasoftware.com,2023-08-29,David Kim,Active,seat-based,6480
ACC-00035,Codex,,Technology,18,Europe,codexdigital.com,2022-08-01,Mike Rodriguez,Churned,seat-based,744
ACC-00036,Synthetix,,Technology,447,Europe,synthetixgmbh.com,2024-08-27,Emma Thompson,Active,hybrid,6192
ACC-00037,PixelWave Studios,,Technology,2383,Europe,pixelwave.com,2024-10-08,Lisa Wang,Active,usage-based,26568
ACC-00038,Alpine Data,,Technology,5,Europe,alpinedataag.com,2023-06-03,Lisa Wang,Active,flat-rate,708
ACC-00039,Orbis Technology,,Technology,550,Europe,orbistech.com,2022-07-09,David Kim,Active,seat-based,772
ACC-00040,NightOwl,,Technology,1680,Europe,nightowlsoftware.com,2024-02-19,Emma Thompson,Active,flat-rate,4710
ACC-00041,Kinetic Sys,,Technology,170,APAC,kineticsystems.com,2022-08-01,Lisa Wang,Active,flat-rate,2388
ACC-00042,Zenith AI Corp,,Technology,186,APAC,zenithai.com,2023-08-06,James Park,Active,flat-rate,2136
ACC-00043,DragonCloud,,Technology,131,APAC,dragoncloud.com,2023-04-13,Lisa Wang,Active,hybrid,2232
ACC-00044,SilkRoute,,Technology,25,APAC,silkroutetech.com,2024-07-05,Lisa Wang,Active,flat-rate,756
ACC-00045,Aurora Technology,,Technology,4495,APAC,auroratech.com,2023-07-29,Emma Thompson,Active,flat-rate,106320
ACC-00046,Nuvola,,Technology,9,LATAM,nuvolasrl.com,2024-02-17,Sarah Chen,Active,usage-based,660
ACC-00047,DigitalBridge,,Technology,553,LATAM,digitalbridgesa.com,2022-07-10,David Kim,Active,flat-rate,7128
ACC-00048,Cloud Vista Inc.,,Technology,165,LATAM,cloudvista.com,2024-12-07,Emma Thompson,Active,seat-based,64080
ACC-00049,Verdant Sys,,Technology,450,North America,verdantsystems.com,2022-12-04,James Park,Active,seat-based,6972
ACC-00050,Helix,,Technology,35,North America,helixsoftware.com,2023-03-10,David Kim,Active,seat-based,636
ACC-00051,Cirrus Logic,,Technology,544,North America,cirruslogicsystems.com,2023-04-16,Lisa Wang,Active,seat-based,7896
ACC-00052,DeepField,,Technology,52,Europe,deepfieldai.com,2024-08-01,James Park,Active,hybrid,2004
ACC-00053,Lightspeed,,Technology,38,North America,lightspeedinnovations.com,2023-12-10,Sarah Chen,Active,flat-rate,804
ACC-00054,OmniCore,,Technology,1361,APAC,omnicorelabs.com,2023-11-30,Emma Thompson,Active,flat-rate,97260
ACC-00055,Flux Technology,,Technology,7,Europe,fluxtech.com,2024-04-05,David Kim,Active,usage-based,756
ACC-00056,Sapient,,Technology,17,North America,sapientdigital.com,2023-04-27,Lisa Wang,Active,flat-rate,588
ACC-00057,Wavelength,,Technology,50,North America,wavelengthai.com,2023-11-07,James Park,Active,flat-rate,594
ACC-00058,EdgePoint,,Technology,12,APAC,edgepointsystems.com,2023-10-14,James Park,Active,flat-rate,660
ACC-00059,Cortex Auto,,Technology,104,North America,cortexautomation.com,2023-05-12,James Park,Active,flat-rate,220
ACC-00060,MedVantage Health,,Healthcare,87,North America,medvantage.com,2024-09-27,Lisa Wang,Active,flat-rate,1980
ACC-00061,CarePath,,Healthcare,134,North America,carepathsystems.com,2023-11-11,Emma Thompson,Active,seat-based,2148
ACC-00062,Vitality Health,,Healthcare,19,North America,vitalityhealthgroup.com,2023-03-14,Sarah Chen,Active,flat-rate,1832
ACC-00063,BioSync,,Healthcare,210,North America,biosyncmedical.com,2022-10-04,Emma Thompson,Active,flat-rate,7656
ACC-00064,HealthGrid Inc.,,Healthcare,51,North America,healthgrid.com,2023-02-15,David Kim,Active,flat-rate,1812
ACC-00065,Aether Med,,Healthcare,65,Europe,aethermedical.com,2023-08-07,Sarah Chen,Active,flat-rate,2016
ACC-00066,NovaCare,,Healthcare,557,Europe,novacarediagnostics.com,2024-08-02,David Kim,Active,seat-based,7044
ACC-00067,Centric Health Solutions,,Healthcare,44,Europe,centrichealth.com,2023-10-13,Mike Rodriguez,Active,flat-rate,792
ACC-00068,Pacific Health,,Healthcare,2470,APAC,pacifichealthsystems.com,2022-11-06,Emma Thompson,Active,hybrid,118236
ACC-00069,MedBridge,,Healthcare,204,APAC,medbridgeanalytics.com,2023-04-30,Emma Thompson,Active,flat-rate,7296
ACC-00070,Salud,,Healthcare,2663,LATAM,saluddigital.com,2024-08-13,Mike Rodriguez,Active,flat-rate,154596
ACC-00071,TrueHealth,,Healthcare,126,North America,truehealthcorp.com,2022-08-29,Lisa Wang,Active,flat-rate,63960
ACC-00072,WellCore,,Healthcare,145,North America,wellcoresystems.com,2024-04-18,Mike Rodriguez,Active,flat-rate,1420
ACC-00073,Genome,,Healthcare,416,Europe,genomeinsights.com,2024-08-27,Sarah Chen,Active,usage-based,8040
ACC-00074,PulsePoint,,Healthcare,90,North America,pulsepointhealth.com,2023-06-14,Emma Thompson,Active,seat-based,3150
ACC-00075,Apex Capital Group,,Financial Services,274,North America,apexcapital.com,2024-11-02,David Kim,Active,flat-rate,7488
ACC-00076,Fidelity Bridge Inc.,,Financial Services,174,North America,fidelitybridge.com,2022-10-24,Mike Rodriguez,Active,flat-rate,2004
ACC-00077,Sterling Wealth Management,,Financial Services,8,North America,sterlingwealth.com,2024-01-03,Lisa Wang,Active,hybrid,768
ACC-00078,BankTech,,Financial Services,4446,North America,banktechsolutions.com,2023-09-08,David Kim,Active,flat-rate,192905
ACC-00079,Moneta,,Financial Services,17,Europe,monetafinancial.com,2022-08-13,Emma Thompson,Active,hybrid,600
ACC-00080,Fortis Capital,,Financial Services,25,Europe,fortiscapitalag.com,2023-11-11,Lisa Wang,Active,flat-rate,768
ACC-00081,Pacific Wealth Partners,,Financial Services,493,APAC,pacificwealth.com,2022-10-29,Mike Rodriguez,Active,flat-rate,7584
ACC-00082,Finova,,Financial Services,105,APAC,finovagroup.com,2023-06-26,James Park,Active,seat-based,20640
ACC-00083,LatAm Financial Services,,Financial Services,86,LATAM,latamfinserv.com,2023-03-23,Emma Thompson,Active,flat-rate,1872
ACC-00084,TrustBank,,Financial Services,75,North America,trustbankdigital.com,2023-10-26,Sarah Chen,Active,flat-rate,2112
ACC-00085,Forge Ind.,,Manufacturing,319,North America,forgeindustries.com,2022-08-08,David Kim,Active,flat-rate,4020
ACC-00086,Titan Mfg,,Manufacturing,48,North America,titanmanufacturing.com,2022-08-02,Emma Thompson,Active,seat-based,804
ACC-00087,Precision Dynamics Corp,,Manufacturing,115,North America,precisiondynamics.com,2022-09-24,Sarah Chen,Active,flat-rate,228
ACC-00088,Steelbridge,,Manufacturing,22,North America,steelbridgecorp.com,2022-12-11,Sarah Chen,Active,flat-rate,756
ACC-00089,EuroForge,,Manufacturing,46,Europe,euroforgegmbh.com,2024-11-02,Lisa Wang,Active,hybrid,224
ACC-00090,Rhine Ind.,,Manufacturing,498,Europe,rhineindustrial.com,2023-11-11,David Kim,Active,seat-based,7920
ACC-00091,Kanto Mfg,,Manufacturing,60,APAC,kantomanufacturing.com,2022-07-18,James Park,Active,hybrid,1836
ACC-00092,Pacifica Ind,,Manufacturing,17,APAC,pacificaindustrial.com,2024-02-03,Lisa Wang,Active,flat-rate,756
ACC-00093,Andean Mfg,,Manufacturing,197,LATAM,andeanmanufacturing.com,2022-07-14,Emma Thompson,Active,flat-rate,2028
ACC-00094,Ironworks,,Manufacturing,78,North America,ironworkssolutions.com,2024-06-28,David Kim,Active,hybrid,2112
ACC-00095,Urban Mart Inc.,,Retail,48,North America,urbanmart.com,2024-10-10,Sarah Chen,Churned,flat-rate,648
ACC-00096,ShopStream Inc.,,Retail,177,North America,shopstream.com,2024-09-30,James Park,Churned,flat-rate,21960
ACC-00097,Retail Edge Corp,,Retail,168,North America,retailedge.com,2023-03-07,Emma Thompson,Churned,flat-rate,2088
ACC-00098,FreshMarket,,Retail,375,North America,freshmarketdigital.com,2024-03-14,James Park,Churned,seat-based,7320
ACC-00099,Europa Retail,,Retail,195,Europe,europaretailgroup.com,2025-01-10,Emma Thompson,Churned,seat-based,2256
ACC-00100,Nordic Shops AB,,Retail,137,Europe,nordicshops.com,2024-03-08,Sarah Chen,Churned,hybrid,2316
ACC-00101,Pacific Mart,,Retail,180,APAC,pacificmart.com,2023-02-04,Emma Thompson,Churned,seat-based,6827
ACC-00102,Bazaar Tech,,Retail,88,APAC,bazaartech.com,2023-11-15,David Kim,Churned,flat-rate,2292
ACC-00103,Mercado,,Retail,534,LATAM,mercadoonline.com,2024-03-07,David Kim,Churned,seat-based,6348
ACC-00104,Beacon Retail Group,,Retail,49,North America,beaconretail.com,2023-09-18,Mike Rodriguez,Churned,flat-rate,648
ACC-00105,EduPath Learning,,Education,486,North America,edupath.com,2024-04-09,David Kim,Churned,hybrid,7704
ACC-00106,Bright Minds,,Education,43,North America,brightmindsacademy.com,2024-09-27,James Park,Trial,hybrid,720
ACC-00107,LearnSphere Inc.,,Education,42,Europe,learnsphere.com,2023-08-27,David Kim,Trial,flat-rate,2328
ACC-00108,AcademiQ Solutions,,Education,310,APAC,academiq.com,2023-06-08,David Kim,Trial,flat-rate,7464
ACC-00109,EduNova Group,,Education,359,LATAM,edunova.com,2022-08-06,Mike Rodriguez,Trial,flat-rate,6384
ACC-00110,Amplify,,Media,10,North America,amplifymedia.com,2023-06-10,Emma Thompson,Trial,flat-rate,792
ACC-00111,Spectrum,,Media,442,North America,spectrumstudios.com,2022-08-23,David Kim,Trial,flat-rate,6060
ACC-00112,Lumina,,Media,37,Europe,luminabroadcasting.com,2023-02-05,Lisa Wang,Trial,flat-rate,792
ACC-00113,Rising Sun,,Media,555,APAC,risingsunmedia.com,2024-07-31,Emma Thompson,Trial,hybrid,6816
ACC-00114,Solaris,,Energy,33,North America,solarisenergy.com,2023-01-17,James Park,Trial,flat-rate,708
ACC-00115,GreenVolt Power,,Energy,16,Europe,greenvolt.com,2024-02-20,James Park,Trial,flat-rate,708
ACC-00116,Renewable Dyn.,,Energy,131,LATAM,renewabledynamics.com,2022-08-21,David Kim,Active,flat-rate,1510
ACC-00117,Stratton,,Professional Services,560,North America,strattonconsulting.com,2022-10-06,James Park,Active,flat-rate,6120
ACC-00118,Vanguard,,Professional Services,20,Europe,vanguardadvisory.com,2022-12-12,James Park,Active,flat-rate,636
ACC-00121,QD Labs Division,ACC-00001,Technology,1440,North America,qdlabsdivision.com,2021-06-07,Mike Rodriguez,Active,flat-rate,96000
ACC-00122,QD Analytics Unit,ACC-00001,Technology,274,North America,qdanalyticsunit.com,2020-09-13,Sarah Chen,Active,flat-rate,51000
ACC-00123,QD Cloud Services,ACC-00001,Technology,46,North America,qdcloudservices.com,2023-11-26,James Park,Active,flat-rate,89000
ACC-00124,Meridian Research Unit,ACC-00002,Healthcare,1280,North America,meridianresearchunit.com,2023-08-24,Emma Thompson,Active,usage-based,14000
ACC-00125,Meridian Pharmacy Services,ACC-00002,Healthcare,217,North America,meridianpharmacyservices.com,2021-10-21,James Park,Active,seat-based,570000
ACC-00126,Meridian Clinical,ACC-00002,Healthcare,1194,North America,meridianclinical.com,2022-04-20,James Park,Active,flat-rate,78000
ACC-00127,Atlas North America,ACC-00003,Logistics,865,Europe,atlasnorthamerica.com,2024-05-28,Sarah Chen,Active,flat-rate,83000
ACC-00128,Atlas Asia Pacific,ACC-00003,Logistics,282,Europe,atlasasiapacific.com,2024-04-13,James Park,Active,hybrid,25000
ACC-00129,Atlas EMEA Operations,ACC-00003,Logistics,1002,Europe,atlasemeaoperations.com,2024-05-31,James Park,Active,seat-based,49000
ACC-00130,Summit Advisory,ACC-00008,Financial Services,1173,North America,summitadvisory.com,2021-05-30,David Kim,Active,flat-rate,52000
ACC-00131,Summit Capital Markets,ACC-00008,Financial Services,1124,North America,summitcapitalmarkets.com,2020-08-22,James Park,Active,flat-rate,60196
ACC-00132,Summit Insurance Div,ACC-00008,Financial Services,1036,North America,summitinsurancediv.com,2022-08-30,David Kim,Active,usage-based,51054
ACC-00133,ZenithAI Research,ACC-00042,Technology,868,APAC,zenithairesearch.com,2023-01-25,Mike Rodriguez,Active,flat-rate,39000
ACC-00134,ZenithAI Federal,ACC-00042,Technology,23,APAC,zenithaifederal.com,2023-01-01,James Park,Active,seat-based,68000
ACC-00135,ZenithAI Healthcare,ACC-00042,Technology,1431,APAC,zenithaihealthcare.com,2022-07-16,Mike Rodriguez,Active,flat-rate,6800
ACC-00136,BioSync Diagnostics,ACC-00063,Healthcare,293,North America,biosyncdiagnostics.com,2023-07-11,James Park,Active,hybrid,1600
ACC-00137,BioSync Pharma,ACC-00063,Healthcare,560,North America,biosyncpharma.com,2024-05-29,Mike Rodriguez,Active,seat-based,45000
ACC-00138,BioSync Research,ACC-00063,Healthcare,320,North America,biosyncresearch.com,2023-05-28,David Kim,Active,flat-rate,78000
ACC-00139,Apex Venture Capital,ACC-00075,Financial Services,1848,North America,apexventurecapital.com,2022-05-26,James Park,Active,seat-based,40000
ACC-00140,Apex Wealth Advisory,ACC-00075,Financial Services,260,North America,apexwealthadvisory.com,2021-09-17,Emma Thompson,Active,seat-based,63000
ACC-00141,Apex Insurance Holdings,ACC-00075,Financial Services,1361,North America,apexinsuranceholdings.com,2020-05-03,Mike Rodriguez,Active,flat-rate,18000
ACC-00142,TrustBank Consumer,ACC-00084,Financial Services,1299,North America,trustbankconsumer.com,2023-01-09,Mike Rodriguez,Active,hybrid,41876
ACC-00143,TrustBank Commercial,ACC-00084,Financial Services,795,North America,trustbankcommercial.com,2023-07-15,Lisa Wang,Active,hybrid,53859
ACC-00144,TrustBank Mortgage,ACC-00084,Financial Services,1722,North America,trustbankmortgage.com,2022-11-20,David Kim,Active,flat-rate,270000
ACC-00145,RetailEdge Online,ACC-00097,Retail,1458,North America,retailedgeonline.com,2022-09-19,Lisa Wang,Active,seat-based,90000
ACC-00146,RetailEdge International,ACC-00097,Retail,442,North America,retailedgeinternational.com,2021-04-03,Mike Rodriguez,Active,flat-rate,93000
ACC-00147,RetailEdge Wholesale,ACC-00097,Retail,1404,North America,retailedgewholesale.com,2020-10-15,Sarah Chen,Active,flat-rate,36000
ACC-00148,Redwood Composites Div,ACC-00014,Manufacturing,768,North America,redwoodcompositesdiv.com,2020-03-06,Sarah Chen,Active,flat-rate,41000
ACC-00149,Redwood Precision Parts,ACC-00014,Manufacturing,345,North America,redwoodprecisionparts.com,2022-11-15,Mike Rodriguez,Active,hybrid,49000
ACC-00150,Redwood Automation Systems,ACC-00014,Manufacturing,1366,North America,redwoodautomationsystems.com,2022-08-12,David Kim,Active,flat-rate,32000
ACC-00201,Acorn Tech Inc,,Education,8249,APAC,acorntech.com,2020-01-27,Lisa Wang,Trial,seat-based,126000
ACC-00202,Birch Tech Inc,,Energy,3804,APAC,birchtech.com,2022-06-01,Mike Rodriguez,Active,hybrid,241533
ACC-00203,Canyon Tech Inc,,Energy,6993,North America,canyontech.com,2021-06-02,James Park,Churned,flat-rate,65815
ACC-00204,Dusk Tech Inc,,Financial Services,203,APAC,dusktech.com,2022-03-30,Sarah Chen,Prospect,,0
ACC-00205,Elm Tech Inc,,Manufacturing,117,North America,elmtech.com,2022-11-09,Mike Rodriguez,Prospect,,0
ACC-00206,Fern Tech Inc,,Healthcare,4185,APAC,ferntech.com,2020-12-19,James Park,Active,flat-rate,26000
ACC-00207,Grove Tech Inc,,Education,7498,APAC,grovetech.com,2022-06-01,Lisa Wang,Active,flat-rate,121000
ACC-00208,Haven Tech Inc,,Technology,4611,Europe,haventech.com,2024-07-12,Mike Rodriguez,Active,flat-rate,172000
ACC-00209,Ivy Tech Inc,,Energy,5799,APAC,ivytech.com,2023-12-10,Emma Thompson,Churned,flat-rate,135000
ACC-00210,Jade Tech Inc,,Education,3917,LATAM,jadetech.com,2022-05-03,Mike Rodriguez,Churned,hybrid,104000
ACC-00211,Kestrel Tech Inc,,Technology,7774,North America,kestreltech.com,2022-03-23,James Park,Churned,flat-rate,51000
ACC-00212,Lark Tech Inc,,Healthcare,4589,APAC,larktech.com,2023-11-18,James Park,Active,hybrid,55666
ACC-00213,Mesa Tech Inc,,Education,4881,Europe,mesatech.com,2024-08-21,Sarah Chen,Active,flat-rate,156000
ACC-00214,Nest Tech Inc,,Energy,332,Europe,nesttech.com,2021-12-26,David Kim,Prospect,,0
ACC-00215,Oak Tech Inc,,Technology,7878,Europe,oaktech.com,2022-06-11,Lisa Wang,Trial,hybrid,15000
ACC-00216,Pine Tech Inc,,Logistics,353,LATAM,pinetech.com,2021-11-28,James Park,Prospect,,0
ACC-00217,Quail Tech Inc,,Financial Services,3349,APAC,quailtech.com,2024-04-18,David Kim,Active,flat-rate,52000
ACC-00218,Ridge Tech Inc,,Manufacturing,9720,LATAM,ridgetech.com,2022-01-21,Lisa Wang,Active,flat-rate,106000
ACC-00219,Sage Tech Inc,,Education,9718,APAC,sagetech.com,2024-09-19,James Park,Active,flat-rate,158000
ACC-00220,Thorn Tech Inc,,Energy,6146,Europe,thorntech.com,2023-02-09,Sarah Chen,Active,flat-rate,89000
ACC-00221,Umber Tech Inc,,Logistics,2580,APAC,umbertech.com,2020-11-15,David Kim,Active,flat-rate,15599
ACC-00222,Vale Tech Inc,,Professional Services,6537,Europe,valetech.com,2020-04-03,Sarah Chen,Active,flat-rate,11600
ACC-00223,Willow Tech Inc,,Retail,4068,APAC,willowtech.com,2024-02-26,James Park,Active,flat-rate,57000
ACC-00224,Yarrow Tech Inc,,Manufacturing,1703,Europe,yarrowtech.com,2024-02-24,Mike Rodriguez,Active,hybrid,7800
ACC-00225,Agate Tech Inc,,Retail,2612,Europe,agatetech.com,2022-04-19,Mike Rodriguez,Trial,flat-rate,68000
ACC-00226,Brook Tech Inc,,Healthcare,7165,APAC,brooktech.com,2021-12-05,David Kim,Active,flat-rate,61000
ACC-00227,Cove Tech Inc,,Manufacturing,5328,LATAM,covetech.com,2023-02-04,Mike Rodriguez,Active,flat-rate,190000
ACC-00228,Dawn Tech Inc,,Retail,6734,North America,dawntech.com,2021-10-08,James Park,Active,flat-rate,189000
ACC-00229,Echo Tech Inc,,Technology,4360,Europe,echotech.com,2024-11-13,James Park,Active,usage-based,47981
ACC-00230,Fjord Tech Inc,,Professional Services,288,North America,fjordtech.com,2024-01-01,David Kim,Prospect,,0
ACC-00231,Glen Tech Inc,,Technology,2881,Europe,glentech.com,2023-05-10,Emma Thompson,Active,seat-based,127000
ACC-00232,Haze Tech Inc,,Financial Services,463,APAC,hazetech.com,2021-11-23,Emma Thompson,Prospect,,0
ACC-00233,Isle Tech Inc,,Technology,2724,LATAM,isletech.com,2020-12-25,Emma Thompson,Active,seat-based,97000
ACC-00234,Jet Tech Inc,,Energy,2675,LATAM,jettech.com,2023-11-30,James Park,Active,usage-based,42000
ACC-00235,Knoll Tech Inc,,Technology,6420,LATAM,knolltech.com,2020-01-13,Lisa Wang,Active,seat-based,24016
ACC-00236,Leaf Tech Inc,,Professional Services,9231,APAC,leaftech.com,2025-01-05,James Park,Active,seat-based,44000
ACC-00237,Marsh Tech Inc,,Logistics,6644,APAC,marshtech.com,2023-11-30,Emma Thompson,Active,hybrid,119000
ACC-00238,North Tech Inc,,Healthcare,8488,Europe,northtech.com,2023-07-31,Mike Rodriguez,Churned,flat-rate,73000
ACC-00239,Oasis Tech Inc,,Manufacturing,1962,North America,oasistech.com,2022-05-05,James Park,Active,seat-based,150000
ACC-00240,Peak Tech Inc,,Retail,8434,Europe,peaktech.com,2024-10-19,James Park,Active,flat-rate,350000
ACC-00241,Quay Tech Inc,,Energy,4878,LATAM,quaytech.com,2020-04-30,Lisa Wang,Active,flat-rate,23000
ACC-00242,Reef Tech Inc,,Technology,1789,Europe,reeftech.com,2020-11-05,David Kim,Churned,flat-rate,110000
ACC-00243,Stone Tech Inc,,Logistics,4254,Europe,stonetech.com,2021-09-14,David Kim,Active,seat-based,219812
ACC-00244,Terra Tech Inc,,Financial Services,6493,LATAM,terratech.com,2020-04-26,Lisa Wang,Active,flat-rate,152362
ACC-00245,Ursa Tech Inc,,Manufacturing,267,LATAM,ursatech.com,2020-09-03,Sarah Chen,Prospect,,0
ACC-00246,Vista Tech Inc,,Technology,6453,LATAM,vistatech.com,2021-12-05,Sarah Chen,Active,flat-rate,34000
ACC-00247,Wave Tech Inc,,Financial Services,9447,APAC,wavetech.com,2023-12-30,Mike Rodriguez,Active,seat-based,200000
ACC-00248,Xeric Tech Inc,,Technology,2828,North America,xerictech.com,2023-01-12,Mike Rodriguez,Active,flat-rate,103000
ACC-00249,Alto Tech Inc,,Healthcare,125,Europe,altotech.com,2025-01-31,James Park,Prospect,,0
ACC-00250,Bay Tech Inc,,Manufacturing,1341,Europe,baytech.com,2023-07-15,Mike Rodriguez,Churned,flat-rate,188000
ACC-00251,Cliff Tech Inc,,Media,7663,North America,clifftech.com,2022-02-20,David Kim,Active,seat-based,186000
ACC-00252,Delta Tech Inc,,Financial Services,6820,LATAM,deltatech.com,2024-06-09,Mike Rodriguez,Active,hybrid,127000
ACC-00253,Ether Tech Inc,,Professional Services,2856,APAC,ethertech.com,2024-10-04,Mike Rodriguez,Churned,seat-based,6600
ACC-00254,Flame Tech Inc,,Logistics,7000,North America,flametech.com,2024-11-27,Sarah Chen,Active,hybrid,58651
ACC-00255,Gale Tech Inc,,Education,3350,North America,galetech.com,2022-04-19,Emma Thompson,Active,seat-based,94085
ACC-00256,Horn Tech Inc,,Technology,7310,LATAM,horntech.com,2022-05-25,Lisa Wang,Active,flat-rate,61000
